[INFO] [1644574632.729412374] [usb_cam]: camera_name value: default_cam
[WARN] [1644574632.729674726] [usb_cam]: framerate: 10.000000
[INFO] [1644574632.736720726] [usb_cam]: using default calibration URL
[INFO] [1644574632.736864688] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574632.757449392] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574632.757550910] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574632.757615762] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574632.757727040] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574633.244858217] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574633.269787772] [usb_cam]: Set framerate to be 10
[INFO] [1644574633.282658679] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574633.282847957] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574633.282915031] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574633.282976216] [usb_cam]:   1 1 / 30
[INFO] [1644574633.283030457] [usb_cam]:   1 1 / 25
[INFO] [1644574633.283082068] [usb_cam]:   1 1 / 20
[INFO] [1644574633.283172234] [usb_cam]:   1 1 / 15
[INFO] [1644574633.283228142] [usb_cam]:   1 1 / 10
[INFO] [1644574633.283279642] [usb_cam]:   1 1 / 5
[INFO] [1644574633.283335327] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574633.283394531] [usb_cam]:   1 1 / 30
[INFO] [1644574633.283470845] [usb_cam]:   1 1 / 25
[INFO] [1644574633.283529049] [usb_cam]:   1 1 / 20
[INFO] [1644574633.283583253] [usb_cam]:   1 1 / 15
[INFO] [1644574633.283635142] [usb_cam]:   1 1 / 10
[INFO] [1644574633.283689642] [usb_cam]:   1 1 / 5
[INFO] [1644574633.283745957] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574633.283804845] [usb_cam]:   1 1 / 30
[INFO] [1644574633.283857753] [usb_cam]:   1 1 / 25
[INFO] [1644574633.283912049] [usb_cam]:   1 1 / 20
[INFO] [1644574633.283964494] [usb_cam]:   1 1 / 15
[INFO] [1644574633.284018012] [usb_cam]:   1 1 / 10
[INFO] [1644574633.284071568] [usb_cam]:   1 1 / 5
[INFO] [1644574633.284125234] [usb_cam]:   width: 320 x height: 176
[INFO] [1644574633.284180734] [usb_cam]:   1 1 / 30
[INFO] [1644574633.284233012] [usb_cam]:   1 1 / 25
[INFO] [1644574633.284283586] [usb_cam]:   1 1 / 20
[INFO] [1644574633.284333438] [usb_cam]:   1 1 / 15
[INFO] [1644574633.284382845] [usb_cam]:   1 1 / 10
[INFO] [1644574633.284434771] [usb_cam]:   1 1 / 5
[INFO] [1644574633.284490771] [usb_cam]:   width: 320 x height: 240
[INFO] [1644574633.284546216] [usb_cam]:   1 1 / 30
[INFO] [1644574633.284599420] [usb_cam]:   1 1 / 25
[INFO] [1644574633.284649938] [usb_cam]:   1 1 / 20
[INFO] [1644574633.284699864] [usb_cam]:   1 1 / 15
[INFO] [1644574633.284751105] [usb_cam]:   1 1 / 10
[INFO] [1644574633.284799975] [usb_cam]:   1 1 / 5
[INFO] [1644574633.284856012] [usb_cam]:   width: 352 x height: 288
[INFO] [1644574633.284911512] [usb_cam]:   1 1 / 30
[INFO] [1644574633.284963975] [usb_cam]:   1 1 / 25
[INFO] [1644574633.285013031] [usb_cam]:   1 1 / 20
[INFO] [1644574633.285062327] [usb_cam]:   1 1 / 15
[INFO] [1644574633.285111271] [usb_cam]:   1 1 / 10
[INFO] [1644574633.285160345] [usb_cam]:   1 1 / 5
[INFO] [1644574633.285214790] [usb_cam]:   width: 432 x height: 240
[INFO] [1644574633.285269253] [usb_cam]:   1 1 / 30
[INFO] [1644574633.285320734] [usb_cam]:   1 1 / 25
[INFO] [1644574633.285370160] [usb_cam]:   1 1 / 20
[INFO] [1644574633.285420031] [usb_cam]:   1 1 / 15
[INFO] [1644574633.285469105] [usb_cam]:   1 1 / 10
[INFO] [1644574633.285517475] [usb_cam]:   1 1 / 5
[INFO] [1644574633.285573808] [usb_cam]:   width: 544 x height: 288
[INFO] [1644574633.285630086] [usb_cam]:   1 1 / 30
[INFO] [1644574633.285682790] [usb_cam]:   1 1 / 25
[INFO] [1644574633.285732771] [usb_cam]:   1 1 / 20
[INFO] [1644574633.285788031] [usb_cam]:   1 1 / 15
[INFO] [1644574633.285923327] [usb_cam]:   1 1 / 10
[INFO] [1644574633.285982994] [usb_cam]:   1 1 / 5
[INFO] [1644574633.286038216] [usb_cam]:   width: 640 x height: 360
[INFO] [1644574633.286092234] [usb_cam]:   1 1 / 30
[INFO] [1644574633.286143660] [usb_cam]:   1 1 / 25
[INFO] [1644574633.286193716] [usb_cam]:   1 1 / 20
[INFO] [1644574633.286243438] [usb_cam]:   1 1 / 15
[INFO] [1644574633.286291771] [usb_cam]:   1 1 / 10
[INFO] [1644574633.286343179] [usb_cam]:   1 1 / 5
[INFO] [1644574633.286397790] [usb_cam]:   width: 752 x height: 416
[INFO] [1644574633.286452771] [usb_cam]:   1 1 / 25
[INFO] [1644574633.286504771] [usb_cam]:   1 1 / 20
[INFO] [1644574633.286554068] [usb_cam]:   1 1 / 15
[INFO] [1644574633.286604012] [usb_cam]:   1 1 / 10
[INFO] [1644574633.286654086] [usb_cam]:   1 1 / 5
[INFO] [1644574633.286706882] [usb_cam]:   width: 800 x height: 448
[INFO] [1644574633.286762457] [usb_cam]:   1 1 / 20
[INFO] [1644574633.286814642] [usb_cam]:   1 1 / 15
[INFO] [1644574633.286864753] [usb_cam]:   1 1 / 10
[INFO] [1644574633.286914457] [usb_cam]:   1 1 / 5
[INFO] [1644574633.286970753] [usb_cam]:   width: 800 x height: 600
[INFO] [1644574633.287024679] [usb_cam]:   1 1 / 20
[INFO] [1644574633.287076697] [usb_cam]:   1 1 / 15
[INFO] [1644574633.287126105] [usb_cam]:   1 1 / 10
[INFO] [1644574633.287175790] [usb_cam]:   1 1 / 5
[INFO] [1644574633.287230457] [usb_cam]:   width: 864 x height: 480
[INFO] [1644574633.287285679] [usb_cam]:   1 1 / 20
[INFO] [1644574633.287338549] [usb_cam]:   1 1 / 15
[INFO] [1644574633.287388271] [usb_cam]:   1 1 / 10
[INFO] [1644574633.287457549] [usb_cam]:   1 1 / 5
[INFO] [1644574633.287522605] [usb_cam]:   width: 960 x height: 544
[INFO] [1644574633.287579716] [usb_cam]:   1 1 / 15
[INFO] [1644574633.287632382] [usb_cam]:   1 1 / 10
[INFO] [1644574633.287681771] [usb_cam]:   1 1 / 5
[INFO] [1644574633.287739882] [usb_cam]:   width: 960 x height: 720
[INFO] [1644574633.287799808] [usb_cam]:   1 1 / 10
[INFO] [1644574633.287852734] [usb_cam]:   1 1 / 5
[INFO] [1644574633.287911457] [usb_cam]:   width: 1024 x height: 576
[INFO] [1644574633.287980864] [usb_cam]:   1 1 / 10
[INFO] [1644574633.288033957] [usb_cam]:   1 1 / 5
[INFO] [1644574633.288088790] [usb_cam]:   width: 1184 x height: 656
[INFO] [1644574633.288143419] [usb_cam]:   1 1 / 10
[INFO] [1644574633.288195475] [usb_cam]:   1 1 / 5
[INFO] [1644574633.288252308] [usb_cam]:   width: 1280 x height: 720
[INFO] [1644574633.288307808] [usb_cam]:   1 2 / 15
[INFO] [1644574633.288358568] [usb_cam]:   1 1 / 5
[INFO] [1644574633.288412771] [usb_cam]:   width: 1280 x height: 960
[INFO] [1644574633.288467308] [usb_cam]:   1 2 / 15
[INFO] [1644574633.288517864] [usb_cam]:   1 1 / 5
[INFO] [1644574633.288580253] [usb_cam]:   Motion-JPEG[Index: 1, Type: 1, Flags: 1, PixelFormat: 47504a4d]
[INFO] [1644574633.288636216] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574633.288688919] [usb_cam]:   1 1 / 30
[INFO] [1644574633.288739419] [usb_cam]:   1 1 / 25
[INFO] [1644574633.288788549] [usb_cam]:   1 1 / 20
[INFO] [1644574633.288838438] [usb_cam]:   1 1 / 15
[INFO] [1644574633.288886512] [usb_cam]:   1 1 / 10
[INFO] [1644574633.288934734] [usb_cam]:   1 1 / 5
[INFO] [1644574633.288989901] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574633.289042790] [usb_cam]:   1 1 / 30
[INFO] [1644574633.289111994] [usb_cam]:   1 1 / 25
[INFO] [1644574633.289160623] [usb_cam]:   1 1 / 20
[INFO] [1644574633.289210123] [usb_cam]:   1 1 / 15
[INFO] [1644574633.289259290] [usb_cam]:   1 1 / 10
[INFO] [1644574633.289310475] [usb_cam]:   1 1 / 5
[INFO] [1644574633.289364938] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574633.289419975] [usb_cam]:   1 1 / 30
[INFO] [1644574633.289470679] [usb_cam]:   1 1 / 25
[INFO] [1644574633.289523531] [usb_cam]:   1 1 / 20
